2025-12-21 13:22:03,630 - INFO - Connection closed: ('127.0.0.1', 58504). Active: 0
2025-12-21 13:22:04,571 - INFO - New connection from ('127.0.0.1', 58505). Active: 1
2025-12-21 13:22:04,571 - INFO - Connection closed: ('127.0.0.1', 58505). Active: 0
2025-12-21 13:22:06,693 - INFO - New connection from ('127.0.0.1', 58506). Active: 1
2025-12-21 13:22:06,694 - INFO - Connection closed: ('127.0.0.1', 58506). Active: 0
2025-12-21 13:22:07,632 - INFO - New connection from ('127.0.0.1', 58507). Active: 1
2025-12-21 13:22:07,634 - INFO - Connection closed: ('127.0.0.1', 58507). Active: 0
2025-12-21 13:22:09,766 - INFO - New connection from ('127.0.0.1', 58508). Active: 1
2025-12-21 13:22:09,768 - INFO - Connection closed: ('127.0.0.1', 58508). Active: 0
2025-12-21 13:22:10,707 - INFO - New connection from ('127.0.0.1', 58511). Active: 1
2025-12-21 13:22:10,708 - INFO - Connection closed: ('127.0.0.1', 58511). Active: 0
2025-12-21 13:22:13,760 - INFO - New connection from ('127.0.0.1', 58512). Active: 1
2025-12-21 13:22:13,760 - INFO - Connection closed: ('127.0.0.1', 58512). Active: 0
2025-12-21 13:22:16,841 - INFO - New connection from ('127.0.0.1', 58513). Active: 1
2025-12-21 13:22:16,843 - INFO - Connection closed: ('127.0.0.1', 58513). Active: 0
2025-12-21 13:22:19,913 - INFO - New connection from ('127.0.0.1', 58514). Active: 1
2025-12-21 13:22:19,914 - INFO - Connection closed: ('127.0.0.1', 58514). Active: 0
2025-12-21 13:22:23,356 - INFO - New connection from ('127.0.0.1', 58515). Active: 1
2025-12-21 13:22:23,359 - INFO - Connection closed: ('127.0.0.1', 58515). Active: 0
2025-12-21 13:22:27,337 - INFO - New connection from ('127.0.0.1', 58516). Active: 1
2025-12-21 13:22:27,337 - INFO - Connection closed: ('127.0.0.1', 58516). Active: 0
2025-12-21 13:22:31,354 - INFO - New connection from ('127.0.0.1', 58517). Active: 1
2025-12-21 13:22:31,356 - INFO - Connection closed: ('127.0.0.1', 58517). Active: 0
2025-12-21 13:22:35,342 - INFO - New connection from ('127.0.0.1', 58518). Active: 1
2025-12-21 13:22:35,343 - INFO - Connection closed: ('127.0.0.1', 58518). Active: 0
2025-12-21 13:22:39,338 - INFO - New connection from ('127.0.0.1', 58519). Active: 1
2025-12-21 13:22:39,340 - INFO - Connection closed: ('127.0.0.1', 58519). Active: 0
2025-12-21 13:22:43,341 - INFO - New connection from ('127.0.0.1', 58520). Active: 1
2025-12-21 13:22:43,342 - INFO - Connection closed: ('127.0.0.1', 58520). Active: 0
2025-12-21 13:22:47,336 - INFO - New connection from ('127.0.0.1', 58521). Active: 1
2025-12-21 13:22:47,338 - INFO - Connection closed: ('127.0.0.1', 58521). Active: 0
2025-12-21 13:22:50,978 - INFO - New connection from ('127.0.0.1', 58522). Active: 1
2025-12-21 13:22:50,979 - INFO - Connection closed: ('127.0.0.1', 58522). Active: 0
2025-12-21 13:22:54,046 - INFO - New connection from ('127.0.0.1', 58524). Active: 1
2025-12-21 13:22:54,048 - INFO - Connection closed: ('127.0.0.1', 58524). Active: 0
2025-12-21 13:25:54,055 - INFO - New connection from ('127.0.0.1', 58538). Active: 1
2025-12-21 13:25:54,056 - INFO - Connection closed: ('127.0.0.1', 58538). Active: 0
2025-12-21 13:25:54,056 - INFO - New connection from ('127.0.0.1', 58539). Active: 1
2025-12-21 13:25:54,057 - INFO - Connection closed: ('127.0.0.1', 58539). Active: 0
2025-12-21 13:25:54,084 - INFO - New connection from ('127.0.0.1', 58540). Active: 1
2025-12-21 13:25:54,085 - INFO - Connection closed: ('127.0.0.1', 58540). Active: 0
2025-12-21 13:25:57,118 - INFO - New connection from ('127.0.0.1', 58541). Active: 1
2025-12-21 13:25:57,118 - INFO - Connection closed: ('127.0.0.1', 58541). Active: 0
2025-12-21 13:26:00,031 - INFO - New connection from ('127.0.0.1', 58544). Active: 1
2025-12-21 13:26:00,031 - INFO - Connection closed: ('127.0.0.1', 58544). Active: 0
2025-12-21 13:26:00,162 - INFO - New connection from ('127.0.0.1', 58545). Active: 1
2025-12-21 13:26:00,163 - INFO - Connection closed: ('127.0.0.1', 58545). Active: 0
2025-12-21 13:26:03,158 - INFO - New connection from ('127.0.0.1', 58546). Active: 1
2025-12-21 13:26:03,159 - INFO - Connection closed: ('127.0.0.1', 58546). Active: 0
2025-12-21 13:26:03,222 - INFO - New connection from ('127.0.0.1', 58547). Active: 1
2025-12-21 13:26:03,223 - INFO - Connection closed: ('127.0.0.1', 58547). Active: 0
2025-12-21 13:26:06,239 - INFO - New connection from ('127.0.0.1', 58548). Active: 1
2025-12-21 13:26:06,240 - INFO - Connection closed: ('127.0.0.1', 58548). Active: 0
2025-12-21 13:26:06,284 - INFO - New connection from ('127.0.0.1', 58549). Active: 1
2025-12-21 13:26:06,285 - INFO - Connection closed: ('127.0.0.1', 58549). Active: 0
2025-12-21 13:26:09,371 - INFO - New connection from ('127.0.0.1', 58552). Active: 1
2025-12-21 13:26:09,373 - INFO - Connection closed: ('127.0.0.1', 58552). Active: 0
2025-12-21 13:26:09,376 - INFO - New connection from ('127.0.0.1', 58553). Active: 1
2025-12-21 13:26:09,377 - INFO - Connection closed: ('127.0.0.1', 58553). Active: 0
2025-12-21 13:26:12,417 - INFO - New connection from ('127.0.0.1', 58554). Active: 1
2025-12-21 13:26:12,418 - INFO - Connection closed: ('127.0.0.1', 58554). Active: 0
2025-12-21 13:26:12,459 - INFO - New connection from ('127.0.0.1', 58555). Active: 1
2025-12-21 13:26:12,460 - INFO - Connection closed: ('127.0.0.1', 58555). Active: 0
2025-12-21 13:26:15,267 - INFO - New connection from ('127.0.0.1', 58558). Active: 1
2025-12-21 13:26:15,268 - INFO - Connection closed: ('127.0.0.1', 58558). Active: 0
2025-12-21 13:26:15,268 - INFO - New connection from ('127.0.0.1', 58559). Active: 1
2025-12-21 13:26:15,269 - INFO - Connection closed: ('127.0.0.1', 58559). Active: 0
2025-12-21 13:26:15,467 - INFO - New connection from ('127.0.0.1', 58560). Active: 1
2025-12-21 13:26:15,468 - INFO - Connection closed: ('127.0.0.1', 58560). Active: 0
2025-12-21 13:26:15,478 - INFO - New connection from ('127.0.0.1', 58561). Active: 1
2025-12-21 13:26:15,479 - INFO - Connection closed: ('127.0.0.1', 58561). Active: 0
2025-12-21 13:26:16,318 - INFO - New connection from ('127.0.0.1', 58562). Active: 1
2025-12-21 13:26:16,319 - INFO - Connection closed: ('127.0.0.1', 58562). Active: 0
2025-12-21 13:26:29,913 - INFO - New connection from ('127.0.0.1', 58564). Active: 1
2025-12-21 13:26:29,914 - INFO - Connection closed: ('127.0.0.1', 58564). Active: 0
2025-12-21 13:26:29,935 - INFO - New connection from ('127.0.0.1', 58565). Active: 1
2025-12-21 13:26:29,935 - ERROR - Error executing buy_shares: not all arguments converted during string formatting
2025-12-21 13:26:30,024 - ERROR - Traceback (most recent call last):
  File "E:\xampp\stock_ticker_private\python_engine\game_engine.py", line 125, in handle_command
    result = game.buy_shares(
             ^^^^^^^^^^^^^^^^
  File "E:\xampp\stock_ticker_private\python_engine\game_state.py", line 239, in buy_shares
    if not amount % 500 == 0:
           ~~~~~~~^~~~~
TypeError: not all arguments converted during string formatting

2025-12-21 13:26:30,025 - INFO - Connection closed: ('127.0.0.1', 58565). Active: 0
2025-12-21 13:28:38,528 - INFO - New connection from ('127.0.0.1', 58574). Active: 1
2025-12-21 13:28:38,529 - INFO - Connection closed: ('127.0.0.1', 58574). Active: 0
2025-12-21 13:28:38,530 - INFO - New connection from ('127.0.0.1', 58575). Active: 1
2025-12-21 13:28:38,530 - ERROR - Error executing buy_shares: not all arguments converted during string formatting
2025-12-21 13:28:38,531 - ERROR - Traceback (most recent call last):
  File "E:\xampp\stock_ticker_private\python_engine\game_engine.py", line 125, in handle_command
    result = game.buy_shares(
             ^^^^^^^^^^^^^^^^
  File "E:\xampp\stock_ticker_private\python_engine\game_state.py", line 239, in buy_shares
    if not amount % 500 == 0:
           ~~~~~~~^~~~~
TypeError: not all arguments converted during string formatting

2025-12-21 13:28:38,532 - INFO - Connection closed: ('127.0.0.1', 58575). Active: 0
2025-12-21 13:28:43,928 - INFO - New connection from ('127.0.0.1', 58577). Active: 1
2025-12-21 13:28:43,929 - INFO - Connection closed: ('127.0.0.1', 58577). Active: 0
2025-12-21 13:28:43,930 - INFO - New connection from ('127.0.0.1', 58578). Active: 1
